,ISBNs,output_types,years,country,unified_title,primary_occupations_main,primary_occupations_detailed,sciences,ABC outputs
35156,9780128177945,edited volumes,2019,United States of America,Elsevier,academic publishers,academic publishers,agricultural sciences,
35158,9789811384943,edited volumes,2019,Singapore,Springer Nature,academic publishers,academic publishers,agricultural sciences,
35159,9783642359439,edited volumes,2019,Germany,Springer Nature,academic publishers,academic publishers,agricultural sciences,
35334,9783658115869,edited volumes,2019,Germany,Springer Nature,academic publishers,academic publishers,social sciences,
35372,9780128148938,edited volumes,2019,United States of America,Elsevier,academic publishers,academic publishers,technological sciences,
35627,9783506705754,edited volumes,2019,Germany,Brill,academic publishers,academic publishers,humanities,
35628,9781644691465,edited volumes,2019,United States of America,Academic Studies Press,academic publishers,academic publishers,humanities,
35629,9788361073277,edited volumes,2019,Poland,Lublin Castle,not publishers,museums,humanities,
35630,9788376666112,edited volumes,2019,Poland,Wydawnictwo Sejmowe,not publishers,governmental institutions,humanities,
35631,9788376666129,edited volumes,2019,Poland,Wydawnictwo Sejmowe,not publishers,governmental institutions,humanities,
35632,9788376666136,edited volumes,2019,Poland,Wydawnictwo Sejmowe,not publishers,governmental institutions,humanities,
35635,9785824323511,edited volumes,2019,Russian Federation,Izdatelstvo Politicheskaya enciklopediya,academic publishers,academic publishers,humanities,
35640,9788893495844,edited volumes,2019,Italy,EBS group,intermediaries,publishing services,humanities,
35646,9786098183542,edited volumes,2019,Lithuania,Lietuvos istorijos institutas,universities,university departments,humanities,
35652,9786098183665,authored books,2019,Lithuania,Lietuvos istorijos institutas,universities,university departments,humanities,
35653,9789986232162,authored books,2019,Lithuania,Diemedžio leidykla,other publishers,general publishers,humanities,
35654,9786098183658,authored books,2019,Lithuania,Lietuvos istorijos institutas,universities,university departments,humanities,
35655,9786098183566,authored books,2019,Lithuania,Lietuvos istorijos institutas,universities,university departments,humanities,
35656,9786098183672,authored books,2019,Lithuania,Lietuvos istorijos institutas,universities,university departments,humanities,
35657,9786098183726,authored books,2019,Lithuania,Lietuvos istorijos institutas,universities,university departments,humanities,
35658,9786094663734,authored books,2019,Lithuania,Tyto alba,other publishers,general publishers,humanities,
35659,9789986232094,authored books,2019,Lithuania,Diemedžio leidykla,other publishers,general publishers,humanities,
35660,9783529013775,authored books,2019,Germany,Wachholtz Verlag,academic publishers,academic publishers,humanities,
35686,9789462702165,edited volumes,2019,Belgium,KU Leuven University Press,universities,university presses,humanities,
35693,9781138719262,edited volumes,2019,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,humanities,
35695,9788362374335,edited volumes,2019,Poland,Krzysztof Kluk Museum of Agriculture in Ciechanowiec,not publishers,museums,humanities,
35707,9788379966653,edited volumes,2019,Poland,University of Rzeszow,universities,university departments,humanities,
35708,9788376665993,edited volumes,2019,Poland,Wydawnictwo Sejmowe,not publishers,governmental institutions,humanities,
35715,9788376665856,edited volumes,2019,Poland,Wydawnictwo Sejmowe,not publishers,governmental institutions,humanities,
35718,9782359352511,edited volumes,2019,France,Lambert-Lucas,academic publishers,academic publishers,humanities,
35723,9789857210114,edited volumes,2019,Belarus,"Januškevič, Andrej Nikolaevič, Vydavec",other publishers,general publishers,humanities,
35724,9788395492372,edited volumes,2019,Poland,Jan Dlugosz University in Czestochowa,universities,university departments,humanities,
35742,9789669402295,edited volumes,2019,Ukraine,Vezha-Druk,intermediaries,publishing services,humanities,
35743,9788380986626,edited volumes,2019,Poland,Institute of National Remembrance,not publishers,governmental institutions,humanities,
35747,9786099607139,edited volumes,2019,Lithuania,Akademikai,intermediaries,publishing services,humanities,
35761,9788366210066,edited volumes,2019,Poland,University of Warsaw,universities,university departments,humanities,
35762,9785945423541,edited volumes,2019,Russian Federation,Pskov regional printing house,intermediaries,publishing services,humanities,
35766,9789852300766,edited volumes,2019,Belarus,Dmitrij Kolos,intermediaries,publishing services,humanities,
35767,9788323143178,edited volumes,2019,Poland,Nicolaus Copernicus University in Toruń (NCU),universities,university departments,humanities,
35773,9786098183627,edited volumes,2019,Lithuania,Lietuvos istorijos institutas,universities,university departments,humanities,
